NOC,Participants,Women Participants,Nr Medals,Nr Women Medals,% Women Medalists,% Men Medalists
ALG,551,94,17,3,3.19,3.06
ANZ,86,2,29,2,100.00,32.14
ARG,3297,643,274,73,11.35,7.57
ARM,221,38,16,1,2.63,8.20
AUS,7638,2749,1320,547,19.90,15.81
AUT,5141,1100,450,97,8.82,8.74
AZE,283,71,44,10,14.08,16.04
BAH,374,100,40,14,14.00,9.49
BDI,39,14,2,1,7.14,4.00
BEL,3857,604,468,23,3.81,13.68
BLR,1787,794,139,77,9.70,6.24
BOH,153,2,12,2,100.00,6.62
BRA,3848,1148,475,135,11.76,12.59
BRN,126,31,3,3,9.68,0.00
BUL,3530,1069,342,128,11.97,8.70
CAN,9733,3563,1352,520,14.59,13.48
CHI,925,118,32,1,0.85,3.84
CHN,5141,2770,989,654,23.61,14.13
CIV,193,58,3,1,1.72,1.48
CMR,312,94,22,2,2.13,9.17
COL,1069,295,28,13,4.41,1.94
CRC,264,65,4,4,6.15,0.00
CRO,876,236,149,15,6.36,20.94
CUB,2479,588,409,93,15.82,16.71
CZE,1874,696,144,40,5.75,8.83
DEN,3570,710,597,107,15.07,17.13
EGY,1622,181,27,2,1.10,1.73
ESP,5313,1439,489,133,9.24,9.19
EST,876,221,50,4,1.81,7.02
ETH,378,92,53,23,25.00,10.49
EUN,864,326,279,117,35.89,30.11
FIN,5467,992,900,119,12.00,17.45
FRA,12758,2781,1777,228,8.20,15.53
FRG,3315,912,586,134,14.69,18.81
GBR,12256,3277,2068,395,12.05,18.63
GDR,2645,931,1005,437,46.94,33.14
GEO,286,72,32,1,1.39,14.49
GER,9830,2999,2165,675,22.51,21.81
GRE,3181,655,255,47,7.18,8.23
HKG,685,222,4,2,0.90,0.43
HUN,6607,1748,1135,267,15.27,17.86
INA,412,136,41,15,11.03,9.42
IND,1408,241,197,5,2.07,16.45
IOA,94,29,5,2,6.90,4.62
IRI,789,49,68,1,2.04,9.05
IRL,1325,283,35,8,2.83,2.59
ISL,627,129,17,1,0.78,3.21
ISR,665,207,9,2,0.97,1.53
ITA,10715,2543,1637,219,8.61,17.35
JAM,848,366,157,86,23.50,14.73
JPN,8444,2779,913,301,10.83,10.80
KAZ,1429,549,77,21,3.83,6.36
KEN,772,159,106,21,13.21,13.87
KOR,4464,1490,638,295,19.80,11.53
KOS,8,5,1,1,20.00,0.00
LAT,951,197,35,2,1.02,4.38
LIE,369,75,9,5,6.67,1.36
LTU,654,209,61,10,4.78,11.46
MAR,682,92,23,4,4.35,3.22
MAS,530,101,16,4,3.96,2.80
MDA,234,64,8,1,1.56,4.12
MEX,2880,649,110,17,2.62,4.17
MGL,550,149,26,4,2.68,5.49
MNE,94,36,14,14,38.89,0.00
MOZ,78,23,2,2,8.70,0.00
NED,5839,1924,1040,432,22.45,15.53
NGR,882,309,99,19,6.15,13.96
NOR,4960,1130,1033,230,20.35,20.97
NZL,2342,784,228,57,7.27,10.98
PER,532,162,15,12,7.41,0.81
PHI,694,104,10,1,0.96,1.53
POL,6207,1751,565,126,7.20,9.85
POR,1522,280,41,6,2.14,2.82
PRK,807,396,67,34,8.59,8.03
PUR,927,167,9,1,0.60,1.05
ROU,4405,1619,653,355,21.93,10.70
RSA,1711,434,131,24,5.53,8.38
RUS,5143,2189,1165,553,25.26,20.72
SCG,321,58,64,4,6.90,22.81
SGP,349,129,9,7,5.43,0.91
SLO,1111,414,48,17,4.11,4.45
SRB,392,139,85,28,20.14,22.53
SRI,146,44,2,1,2.27,0.98
SUI,6150,1205,691,102,8.46,11.91
SVK,1055,361,47,10,2.77,5.33
SWE,8339,1985,1536,220,11.08,20.71
SYR,156,17,3,1,5.88,1.44
TCH,4404,905,488,89,9.83,11.40
THA,747,214,30,14,6.54,3.00
TJK,70,16,4,1,6.25,5.56
TPE,1097,408,49,19,4.66,4.35
TUN,561,95,13,3,3.16,2.15
TUR,1356,251,95,10,3.98,7.69
UKR,2559,1180,199,105,8.90,6.82
URS,5685,1590,2503,687,43.21,44.35
USA,18853,5533,5637,1805,32.62,28.77
UZB,495,151,34,2,1.32,9.30
VEN,925,221,15,4,1.81,1.56
VIE,154,74,4,1,1.35,3.75
YUG,2583,378,390,60,15.87,14.97
ZIM,311,113,22,22,19.47,0.00
