year;NOC_host;WomenEvolution;participantsEvolution;MedalsHost;MedalAverage;AvgHost
1956;AUS;893;5127;67;48;77
2000;AUS;5431;13821;183;48;77
1920;BEL;134;4292;188;16;172
2016;BRA;6223;13688;50;20;30
1976;CAN;2172;8641;23;27;-4
2008;CHN;5816;13602;184;69;115
1992;ESP;4124;12977;69;21;48
1952;FIN;1497;8270;40;18;22
1900;FRA;33;1936;235;56;116,5
1924;FRA;244;5233;110;56;116,5
1972;FRG;2193;10304;102;100;2
1908;GBR;47;3101;368;68;117
1948;GBR;628;6405;61;68;117
2012;GBR;5815;12920;126;68;117
1936;GER;468;6506;224;88;136
1896;GRE;0;380;48;8;31,5
2004;GRE;5546;13443;31;8;31,5
1960;ITA;1435;8119;88;49;39
1964;JPN;1348;7702;62;38;24
1988;KOR;3543;12037;77;32;45
1968;MEX;1777;8588;9;4;5
1928;NED;404;4992;57;34;23
1912;SWE;87;4040;190;39;151
1980;URS;1756;7191;442;229;213
1904;USA;16;1301;394;178;120,5
1932;USA;347;2969;189;178;120,5
1984;USA;2447;9454;352;178;120,5
1996;USA;5008;13780;259;178;120,5
